test_type,version,run_id,raw_temp_c,filtered_temp_c,latency_us,heap_bytes
sensor_test,native,1,17.00,3.40,405,457596
sensor_test,native,2,17.00,6.80,13,457380
sensor_test,native,3,16.00,10.00,12,457380
sensor_test,native,4,17.00,13.40,13,457380
sensor_test,native,5,16.00,16.60,13,457380
sensor_test,native,6,16.00,16.40,13,457380
sensor_test,native,7,16.00,16.20,12,457380
sensor_test,native,8,16.00,16.20,12,457380
sensor_test,native,9,16.00,16.00,13,457380
sensor_test,native,10,16.00,16.00,13,457380
sensor_test,wasm,101,17.00,3.40,33,365624
sensor_test,wasm,102,17.00,6.80,21,365624
sensor_test,wasm,103,16.00,10.00,19,365624
sensor_test,wasm,104,16.00,13.20,19,365624
sensor_test,wasm,105,16.00,16.40,19,365624
sensor_test,wasm,106,16.00,16.20,19,365624
sensor_test,wasm,107,16.00,16.00,19,365624
sensor_test,wasm,108,16.00,16.00,19,365624
sensor_test,wasm,109,16.00,16.00,19,365624
sensor_test,wasm,110,16.00,16.00,19,365624
